domain,transcript_index,signal_level,agreement,votes_high,votes_low,all_agree,llama_label,mistral_label,qwen_label,llama_criterion,mistral_criterion,qwen_criterion
career_selfimprovement,0,LOW,0.667,1,2,False,HIGH,LOW,LOW,"The video provides specific procedural steps and concrete outcomes or metrics, but has some motivational language that is not dominant.","The content provides procedural steps and concrete outcomes but it is heavily promotional for a product, which dominates more than 30% of the transcript.","The motivational language dominates the transcript, which is a primary low signal pattern."
career_selfimprovement,1,LOW,0.667,1,2,False,HIGH,LOW,LOW,The presence of specific procedural steps and concrete outcomes or metrics outweighs the motivational language and repeated definition of deep work.,,Dominant motivational language with no actionable methods or procedural steps.
career_selfimprovement,2,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"The transcript provides specific procedural steps and concrete outcomes, but some of the criteria are only partially met.",,The transcript provides specific procedural steps and concrete outcomes while avoiding excessive motivational language or promotion.
career_selfimprovement,3,HIGH,0.667,2,1,False,HIGH,LOW,HIGH,"While the content provides some procedural steps and concrete outcomes, it also includes some motivational language that is not overly dominant.",The motivational language dominates the transcript with no actionable method attached and the primary hook is fear or urgency with no concrete mitigation steps offered. These LOW criteria outweigh the HIGH criteria in this case.,"While there is a significant amount of motivational language, it coexists with specific procedural steps for learning to say no."
career_selfimprovement,4,HIGH,0.667,2,1,False,HIGH,HIGH,LOW,"While the transcript has some LOW patterns, they are not dominant, and the procedural content is clear and actionable.",,"While the transcript contains specific procedural steps, the motivational language and implicit promotion of personal habits dominate more than 30% of the content."
career_selfimprovement,5,HIGH,0.667,2,1,False,HIGH,HIGH,LOW,"The transcript provides specific procedural steps, concrete outcomes, and a clear action plan, but also includes some motivational language that is not dominant.",,"While the transcript includes specific procedural steps and an action plan, it is dominated by motivational language and implicitly promotes a service."
career_selfimprovement,6,LOW,0.667,1,2,False,HIGH,LOW,LOW,"The content provides specific procedural steps and concrete outcomes, but is dominated by motivational language.","The motivational language dominates the transcript with no actionable method attached and repeats the same warning or point more than twice without adding new information. Additionally, the primary hook is fear or urgency with no concrete mitigation steps offered.","The motivational language dominates the transcript despite providing some procedural steps, which does not constitute a dominant pattern."
career_selfimprovement,7,HIGH,0.667,2,1,False,HIGH,LOW,HIGH,The presence of specific procedural steps and concrete outcomes is balanced by a dominant motivational language at the beginning of the transcript.,The transcript predominantly contains motivational language and repeats the same warning or risk multiple times without adding new information.,The transcript provides specific procedural steps in the form of life lessons that can be applied to improve work habits and personal growth.
career_selfimprovement,8,LOW,0.667,1,2,False,LOW,HIGH,LOW,The primary factor is the dominant use of motivational language without providing actionable methods or concrete outcomes.,,"Motivational language and product promotion dominate the transcript, despite including some procedural steps."
career_selfimprovement,9,LOW,1.0,0,3,True,LOW,LOW,LOW,The dominant pattern of motivational language without actionable methods attached outweighs the few procedural steps mentioned.,"The content provides procedural steps and specific outcomes, but it also contains motivational language and a primary hook of fear or urgency. However, the motivational language does not dominate the transcript and coexists with procedural content, which is why I've labeled it as MEDIUM.","The presence of motivational language and promotion of a product/service dominates the transcript, despite some procedural content."
