variant,domain,transcript_index,repeat,label
zeroshot_no_rubric,career_selfimprovement,0,0,LOW
zeroshot_no_rubric,career_selfimprovement,0,1,LOW
zeroshot_no_rubric,career_selfimprovement,0,2,LOW
zeroshot_no_rubric,career_selfimprovement,0,3,LOW
zeroshot_no_rubric,career_selfimprovement,0,4,LOW
frontier_with_rubric,career_selfimprovement,0,0,LOW
frontier_with_rubric,career_selfimprovement,0,1,LOW
frontier_with_rubric,career_selfimprovement,0,2,LOW
frontier_with_rubric,career_selfimprovement,0,3,LOW
frontier_with_rubric,career_selfimprovement,0,4,LOW
zeroshot_no_rubric,career_selfimprovement,1,0,HIGH
zeroshot_no_rubric,career_selfimprovement,1,1,HIGH
zeroshot_no_rubric,career_selfimprovement,1,2,HIGH
zeroshot_no_rubric,career_selfimprovement,1,3,HIGH
zeroshot_no_rubric,career_selfimprovement,1,4,HIGH
frontier_with_rubric,career_selfimprovement,1,0,LOW
frontier_with_rubric,career_selfimprovement,1,1,HIGH
frontier_with_rubric,career_selfimprovement,1,2,HIGH
frontier_with_rubric,career_selfimprovement,1,3,HIGH
frontier_with_rubric,career_selfimprovement,1,4,HIGH
zeroshot_no_rubric,career_selfimprovement,2,0,LOW
zeroshot_no_rubric,career_selfimprovement,2,1,LOW
zeroshot_no_rubric,career_selfimprovement,2,2,LOW
zeroshot_no_rubric,career_selfimprovement,2,3,LOW
zeroshot_no_rubric,career_selfimprovement,2,4,LOW
frontier_with_rubric,career_selfimprovement,2,0,HIGH
frontier_with_rubric,career_selfimprovement,2,1,HIGH
frontier_with_rubric,career_selfimprovement,2,2,HIGH
frontier_with_rubric,career_selfimprovement,2,3,HIGH
frontier_with_rubric,career_selfimprovement,2,4,HIGH
zeroshot_no_rubric,career_selfimprovement,3,0,LOW
zeroshot_no_rubric,career_selfimprovement,3,1,LOW
zeroshot_no_rubric,career_selfimprovement,3,2,LOW
zeroshot_no_rubric,career_selfimprovement,3,3,LOW
zeroshot_no_rubric,career_selfimprovement,3,4,LOW
frontier_with_rubric,career_selfimprovement,3,0,LOW
frontier_with_rubric,career_selfimprovement,3,1,LOW
frontier_with_rubric,career_selfimprovement,3,2,HIGH
frontier_with_rubric,career_selfimprovement,3,3,LOW
frontier_with_rubric,career_selfimprovement,3,4,LOW
zeroshot_no_rubric,career_selfimprovement,4,0,LOW
zeroshot_no_rubric,career_selfimprovement,4,1,LOW
zeroshot_no_rubric,career_selfimprovement,4,2,LOW
zeroshot_no_rubric,career_selfimprovement,4,3,LOW
zeroshot_no_rubric,career_selfimprovement,4,4,LOW
frontier_with_rubric,career_selfimprovement,4,0,HIGH
frontier_with_rubric,career_selfimprovement,4,1,HIGH
frontier_with_rubric,career_selfimprovement,4,2,HIGH
frontier_with_rubric,career_selfimprovement,4,3,HIGH
frontier_with_rubric,career_selfimprovement,4,4,HIGH
zeroshot_no_rubric,career_selfimprovement,5,0,LOW
zeroshot_no_rubric,career_selfimprovement,5,1,LOW
zeroshot_no_rubric,career_selfimprovement,5,2,LOW
zeroshot_no_rubric,career_selfimprovement,5,3,LOW
zeroshot_no_rubric,career_selfimprovement,5,4,LOW
frontier_with_rubric,career_selfimprovement,5,0,HIGH
frontier_with_rubric,career_selfimprovement,5,1,HIGH
frontier_with_rubric,career_selfimprovement,5,2,HIGH
frontier_with_rubric,career_selfimprovement,5,3,HIGH
frontier_with_rubric,career_selfimprovement,5,4,HIGH
zeroshot_no_rubric,career_selfimprovement,6,0,LOW
zeroshot_no_rubric,career_selfimprovement,6,1,LOW
zeroshot_no_rubric,career_selfimprovement,6,2,LOW
zeroshot_no_rubric,career_selfimprovement,6,3,LOW
zeroshot_no_rubric,career_selfimprovement,6,4,LOW
frontier_with_rubric,career_selfimprovement,6,0,LOW
frontier_with_rubric,career_selfimprovement,6,1,LOW
frontier_with_rubric,career_selfimprovement,6,2,LOW
frontier_with_rubric,career_selfimprovement,6,3,LOW
frontier_with_rubric,career_selfimprovement,6,4,LOW
zeroshot_no_rubric,career_selfimprovement,7,0,LOW
zeroshot_no_rubric,career_selfimprovement,7,1,HIGH
zeroshot_no_rubric,career_selfimprovement,7,2,LOW
zeroshot_no_rubric,career_selfimprovement,7,3,LOW
zeroshot_no_rubric,career_selfimprovement,7,4,LOW
frontier_with_rubric,career_selfimprovement,7,0,LOW
frontier_with_rubric,career_selfimprovement,7,1,LOW
frontier_with_rubric,career_selfimprovement,7,2,LOW
frontier_with_rubric,career_selfimprovement,7,3,LOW
frontier_with_rubric,career_selfimprovement,7,4,LOW
zeroshot_no_rubric,career_selfimprovement,8,0,LOW
zeroshot_no_rubric,career_selfimprovement,8,1,LOW
zeroshot_no_rubric,career_selfimprovement,8,2,LOW
zeroshot_no_rubric,career_selfimprovement,8,3,LOW
zeroshot_no_rubric,career_selfimprovement,8,4,LOW
frontier_with_rubric,career_selfimprovement,8,0,HIGH
frontier_with_rubric,career_selfimprovement,8,1,HIGH
frontier_with_rubric,career_selfimprovement,8,2,HIGH
frontier_with_rubric,career_selfimprovement,8,3,HIGH
frontier_with_rubric,career_selfimprovement,8,4,HIGH
zeroshot_no_rubric,career_selfimprovement,9,0,LOW
zeroshot_no_rubric,career_selfimprovement,9,1,LOW
zeroshot_no_rubric,career_selfimprovement,9,2,LOW
zeroshot_no_rubric,career_selfimprovement,9,3,LOW
zeroshot_no_rubric,career_selfimprovement,9,4,LOW
frontier_with_rubric,career_selfimprovement,9,0,LOW
frontier_with_rubric,career_selfimprovement,9,1,LOW
frontier_with_rubric,career_selfimprovement,9,2,LOW
frontier_with_rubric,career_selfimprovement,9,3,LOW
frontier_with_rubric,career_selfimprovement,9,4,LOW
zeroshot_no_rubric,career_selfimprovement,10,0,LOW
zeroshot_no_rubric,career_selfimprovement,10,1,LOW
zeroshot_no_rubric,career_selfimprovement,10,2,LOW
zeroshot_no_rubric,career_selfimprovement,10,3,LOW
zeroshot_no_rubric,career_selfimprovement,10,4,LOW
frontier_with_rubric,career_selfimprovement,10,0,LOW
frontier_with_rubric,career_selfimprovement,10,1,LOW
frontier_with_rubric,career_selfimprovement,10,2,LOW
frontier_with_rubric,career_selfimprovement,10,3,LOW
frontier_with_rubric,career_selfimprovement,10,4,LOW
zeroshot_no_rubric,career_selfimprovement,11,0,LOW
zeroshot_no_rubric,career_selfimprovement,11,1,LOW
zeroshot_no_rubric,career_selfimprovement,11,2,LOW
zeroshot_no_rubric,career_selfimprovement,11,3,LOW
zeroshot_no_rubric,career_selfimprovement,11,4,LOW
frontier_with_rubric,career_selfimprovement,11,0,LOW
frontier_with_rubric,career_selfimprovement,11,1,HIGH
frontier_with_rubric,career_selfimprovement,11,2,HIGH
frontier_with_rubric,career_selfimprovement,11,3,HIGH
frontier_with_rubric,career_selfimprovement,11,4,HIGH
zeroshot_no_rubric,career_selfimprovement,12,0,LOW
zeroshot_no_rubric,career_selfimprovement,12,1,LOW
zeroshot_no_rubric,career_selfimprovement,12,2,LOW
zeroshot_no_rubric,career_selfimprovement,12,3,LOW
zeroshot_no_rubric,career_selfimprovement,12,4,LOW
frontier_with_rubric,career_selfimprovement,12,0,HIGH
frontier_with_rubric,career_selfimprovement,12,1,HIGH
frontier_with_rubric,career_selfimprovement,12,2,HIGH
frontier_with_rubric,career_selfimprovement,12,3,HIGH
frontier_with_rubric,career_selfimprovement,12,4,HIGH
zeroshot_no_rubric,career_selfimprovement,13,0,LOW
zeroshot_no_rubric,career_selfimprovement,13,1,LOW
zeroshot_no_rubric,career_selfimprovement,13,2,LOW
zeroshot_no_rubric,career_selfimprovement,13,3,LOW
zeroshot_no_rubric,career_selfimprovement,13,4,LOW
frontier_with_rubric,career_selfimprovement,13,0,LOW
frontier_with_rubric,career_selfimprovement,13,1,LOW
frontier_with_rubric,career_selfimprovement,13,2,LOW
frontier_with_rubric,career_selfimprovement,13,3,LOW
frontier_with_rubric,career_selfimprovement,13,4,LOW
zeroshot_no_rubric,career_selfimprovement,14,0,LOW
zeroshot_no_rubric,career_selfimprovement,14,1,LOW
zeroshot_no_rubric,career_selfimprovement,14,2,LOW
zeroshot_no_rubric,career_selfimprovement,14,3,LOW
zeroshot_no_rubric,career_selfimprovement,14,4,LOW
frontier_with_rubric,career_selfimprovement,14,0,LOW
frontier_with_rubric,career_selfimprovement,14,1,LOW
frontier_with_rubric,career_selfimprovement,14,2,LOW
frontier_with_rubric,career_selfimprovement,14,3,LOW
frontier_with_rubric,career_selfimprovement,14,4,LOW
zeroshot_no_rubric,career_selfimprovement,15,0,LOW
zeroshot_no_rubric,career_selfimprovement,15,1,LOW
zeroshot_no_rubric,career_selfimprovement,15,2,LOW
zeroshot_no_rubric,career_selfimprovement,15,3,LOW
zeroshot_no_rubric,career_selfimprovement,15,4,LOW
frontier_with_rubric,career_selfimprovement,15,0,LOW
frontier_with_rubric,career_selfimprovement,15,1,LOW
frontier_with_rubric,career_selfimprovement,15,2,LOW
frontier_with_rubric,career_selfimprovement,15,3,LOW
frontier_with_rubric,career_selfimprovement,15,4,LOW
zeroshot_no_rubric,career_selfimprovement,16,0,LOW
zeroshot_no_rubric,career_selfimprovement,16,1,LOW
zeroshot_no_rubric,career_selfimprovement,16,2,LOW
zeroshot_no_rubric,career_selfimprovement,16,3,LOW
zeroshot_no_rubric,career_selfimprovement,16,4,LOW
frontier_with_rubric,career_selfimprovement,16,0,LOW
frontier_with_rubric,career_selfimprovement,16,1,LOW
frontier_with_rubric,career_selfimprovement,16,2,LOW
frontier_with_rubric,career_selfimprovement,16,3,LOW
frontier_with_rubric,career_selfimprovement,16,4,LOW
zeroshot_no_rubric,career_selfimprovement,17,0,LOW
zeroshot_no_rubric,career_selfimprovement,17,1,LOW
zeroshot_no_rubric,career_selfimprovement,17,2,LOW
zeroshot_no_rubric,career_selfimprovement,17,3,LOW
zeroshot_no_rubric,career_selfimprovement,17,4,LOW
frontier_with_rubric,career_selfimprovement,17,0,HIGH
frontier_with_rubric,career_selfimprovement,17,1,HIGH
frontier_with_rubric,career_selfimprovement,17,2,HIGH
frontier_with_rubric,career_selfimprovement,17,3,HIGH
frontier_with_rubric,career_selfimprovement,17,4,HIGH
zeroshot_no_rubric,career_selfimprovement,18,0,LOW
zeroshot_no_rubric,career_selfimprovement,18,1,LOW
zeroshot_no_rubric,career_selfimprovement,18,2,LOW
zeroshot_no_rubric,career_selfimprovement,18,3,LOW
zeroshot_no_rubric,career_selfimprovement,18,4,LOW
frontier_with_rubric,career_selfimprovement,18,0,LOW
frontier_with_rubric,career_selfimprovement,18,1,LOW
frontier_with_rubric,career_selfimprovement,18,2,LOW
frontier_with_rubric,career_selfimprovement,18,3,LOW
frontier_with_rubric,career_selfimprovement,18,4,LOW
zeroshot_no_rubric,career_selfimprovement,19,0,LOW
zeroshot_no_rubric,career_selfimprovement,19,1,LOW
zeroshot_no_rubric,career_selfimprovement,19,2,LOW
zeroshot_no_rubric,career_selfimprovement,19,3,LOW
zeroshot_no_rubric,career_selfimprovement,19,4,LOW
frontier_with_rubric,career_selfimprovement,19,0,LOW
frontier_with_rubric,career_selfimprovement,19,1,LOW
frontier_with_rubric,career_selfimprovement,19,2,LOW
frontier_with_rubric,career_selfimprovement,19,3,LOW
frontier_with_rubric,career_selfimprovement,19,4,LOW
zeroshot_no_rubric,tech_ai,20,0,HIGH
zeroshot_no_rubric,tech_ai,20,1,HIGH
zeroshot_no_rubric,tech_ai,20,2,HIGH
zeroshot_no_rubric,tech_ai,20,3,HIGH
zeroshot_no_rubric,tech_ai,20,4,HIGH
frontier_with_rubric,tech_ai,20,0,HIGH
frontier_with_rubric,tech_ai,20,1,HIGH
frontier_with_rubric,tech_ai,20,2,HIGH
frontier_with_rubric,tech_ai,20,3,HIGH
frontier_with_rubric,tech_ai,20,4,HIGH
zeroshot_no_rubric,tech_ai,21,0,HIGH
zeroshot_no_rubric,tech_ai,21,1,HIGH
zeroshot_no_rubric,tech_ai,21,2,HIGH
zeroshot_no_rubric,tech_ai,21,3,HIGH
zeroshot_no_rubric,tech_ai,21,4,HIGH
frontier_with_rubric,tech_ai,21,0,HIGH
frontier_with_rubric,tech_ai,21,1,HIGH
frontier_with_rubric,tech_ai,21,2,HIGH
frontier_with_rubric,tech_ai,21,3,HIGH
frontier_with_rubric,tech_ai,21,4,HIGH
zeroshot_no_rubric,tech_ai,22,0,LOW
zeroshot_no_rubric,tech_ai,22,1,LOW
zeroshot_no_rubric,tech_ai,22,2,LOW
zeroshot_no_rubric,tech_ai,22,3,LOW
zeroshot_no_rubric,tech_ai,22,4,LOW
frontier_with_rubric,tech_ai,22,0,HIGH
frontier_with_rubric,tech_ai,22,1,HIGH
frontier_with_rubric,tech_ai,22,2,HIGH
frontier_with_rubric,tech_ai,22,3,HIGH
frontier_with_rubric,tech_ai,22,4,HIGH
zeroshot_no_rubric,tech_ai,23,0,LOW
zeroshot_no_rubric,tech_ai,23,1,LOW
zeroshot_no_rubric,tech_ai,23,2,LOW
zeroshot_no_rubric,tech_ai,23,3,LOW
