run_tag,domain,rubric_version,transcript_index,model,label,confidence,reason,criterion_quote
a1_heldout90,career_selfimprovement,v0,0,llama3.1:latest,HIGH,HIGH,"The transcript provides specific procedural steps with named methods (e.g. ""appreciating the difference between deep work and shallow work"") and concrete outcomes or metrics (e.g. ""three to four uninterrupted hours"" for effective deep work), while also providing a clear action plan for improving productivity.","""Contains at least 2 specific procedural steps with named methods, tools, or timelines (e.g. 'File Form I-539 within 60 days', 'Use the STAR method for interviews')"""
a1_heldout90,career_selfimprovement,v0,1,llama3.1:latest,HIGH,HIGH,"The transcript provides specific procedural steps with named methods and tools (e.g. ""Hell Yeah Or No"" principle), concrete outcomes or metrics (e.g. recognizing control over time), and sequential ideas that build on each other.","""Contains at least 2 specific procedural steps with named methods, tools, or timelines (e.g. 'File Form I-539 within 60 days', 'Use the STAR method for interviews')"""
a1_heldout90,career_selfimprovement,v0,2,llama3.1:latest,HIGH,MEDIUM,"The transcript provides specific procedural steps (awareness, observation, experimentation) and concrete outcomes (emotional mastery), but is also overly focused on the author's personal anecdotes and philosophical musings.","""Ideas build sequentially — each point adds new information rather than restating the previous one"""
a1_heldout90,career_selfimprovement,v0,3,llama3.1:latest,HIGH,MEDIUM,"The transcript provides specific procedural steps with named methods and timelines, such as having a conversation with one's boss to clarify expectations and setting a personal timeline for career development.","""Contains at least 2 specific procedural steps with named methods, tools, or timelines (e.g. 'File Form I-539 within 60 days', 'Use the STAR method for interviews')"""
a1_heldout90,career_selfimprovement,v0,4,llama3.1:latest,HIGH,MEDIUM,"The transcript provides specific procedural steps with named methods and tools, such as ""steal with pride"" and ""template all the things"", which satisfies two HIGH-signal criteria.","""Contains at least 2 specific procedural steps with named methods, tools, or timelines (e.g. 'File Form I-539 within 60 days', 'Use the STAR method for interviews')"""
a1_heldout90,career_selfimprovement,v0,5,llama3.1:latest,HIGH,HIGH,"The transcript provides specific procedural steps with named methods and tools in points 1-8, and concrete outcomes or metrics are mentioned in several places, such as ""allocate a specific time to tasks"" and ""trim off unnecessary hours"".","""Contains at least 2 specific procedural steps with named methods, tools, or timelines (e.g. 'File Form I-539 within 60 days', 'Use the STAR method for interviews')"""
a1_heldout90,career_selfimprovement,v0,6,llama3.1:latest,HIGH,HIGH,"The transcript provides specific procedural steps and concrete outcomes through the concept of ""unspoken rules"" and how they can be identified and leveraged to get ahead in one's career.","""Ideas build sequentially — each point adds new information rather than restating the previous one"""
a1_heldout90,career_selfimprovement,v0,7,llama3.1:latest,HIGH,HIGH,"The transcript provides specific procedural steps with named methods and timelines, such as ""think about a similar task that you tried in a previous job"" and ""give yourself a limit"", which satisfies at least two HIGH-signal criteria.","""Contains at least 2 specific procedural steps with named methods, tools, or timelines (e.g. 'File Form I-539 within 60 days', 'Use the STAR method for interviews')"""
a1_heldout90,career_selfimprovement,v0,8,llama3.1:latest,HIGH,HIGH,"The transcript provides specific procedural steps with named methods and tools (e.g. ""create a God's eye view"", ""using the suif function""), concrete outcomes or metrics (e.g. ""massive Time Savings in the long term""), and a specific action plan for addressing a problem, without relying on motivational language or promoting a product.","""Contains at least 2 specific procedural steps with named methods, tools, or timelines"""
a1_heldout90,career_selfimprovement,v0,9,llama3.1:latest,HIGH,MEDIUM,"The transcript provides specific procedural steps with named methods (time blocking) and concrete outcomes or metrics (fixed schedule productivity), but lacks explicit numbers or percentages.","""Contains at least 2 specific procedural steps with named methods, tools, or timelines"""
a1_heldout90,career_selfimprovement,v0,10,llama3.1:latest,HIGH,HIGH,"The transcript provides specific procedural steps with named methods (e.g. ""the cycle"") and concrete outcomes or metrics (e.g. ""30 minutes before it's due""), while avoiding dominant LOW patterns.","""Contains at least 2 specific procedural steps with named methods, tools, or timelines"""
a1_heldout90,career_selfimprovement,v0,11,llama3.1:latest,HIGH,MEDIUM,"The transcript provides specific procedural steps with named methods and tools (e.g. ""Make a List of Your Hobbies"", ""Discover What You're Good At"") and concrete outcomes or metrics (e.g. ""narrow down what type of roles you'd be interested in working towards""), but lacks explicit numbers, percentages, or named frameworks.","1. Contains at least 2 specific procedural steps with named methods, tools, or timelines"
a1_heldout90,career_selfimprovement,v0,12,llama3.1:latest,HIGH,HIGH,The transcript provides a clear six-phase roadmap for landing a remote software engineering job and offers specific metrics on time zone considerations.,"""Contains at least 2 specific procedural steps with named methods, tools, or timelines (e.g. 'File Form I-539 within 60 days', 'Use the STAR method for interviews')"""
a1_heldout90,career_selfimprovement,v0,13,llama3.1:latest,HIGH,MEDIUM,"The transcript provides specific procedural steps and sequential ideas, but lacks concrete outcomes or metrics to support its claims.","""Ideas build sequentially — each point adds new information rather than restating the previous one"""
