domain,transcript_index,calibrated_label,zeroshot_label,match
career_selfimprovement,0,HIGH,LOW,False
career_selfimprovement,1,HIGH,HIGH,True
career_selfimprovement,2,HIGH,LOW,False
career_selfimprovement,3,HIGH,LOW,False
career_selfimprovement,4,HIGH,LOW,False
career_selfimprovement,5,HIGH,LOW,False
career_selfimprovement,6,HIGH,LOW,False
career_selfimprovement,7,HIGH,LOW,False
career_selfimprovement,8,HIGH,LOW,False
career_selfimprovement,9,HIGH,LOW,False
career_selfimprovement,10,HIGH,LOW,False
career_selfimprovement,11,HIGH,LOW,False
career_selfimprovement,12,HIGH,LOW,False
career_selfimprovement,13,HIGH,LOW,False
career_selfimprovement,14,HIGH,LOW,False
career_selfimprovement,15,LOW,LOW,True
career_selfimprovement,16,LOW,LOW,True
career_selfimprovement,17,HIGH,LOW,False
career_selfimprovement,18,HIGH,LOW,False
career_selfimprovement,19,HIGH,LOW,False
tech_ai,20,HIGH,HIGH,True
tech_ai,21,HIGH,HIGH,True
tech_ai,22,HIGH,LOW,False
tech_ai,23,HIGH,LOW,False
tech_ai,24,HIGH,LOW,False
tech_ai,25,HIGH,LOW,False
tech_ai,26,HIGH,HIGH,True
tech_ai,27,HIGH,LOW,False
tech_ai,28,LOW,LOW,True
tech_ai,29,LOW,LOW,True
tech_ai,30,HIGH,LOW,False
tech_ai,31,HIGH,LOW,False
tech_ai,32,LOW,LOW,True
tech_ai,33,HIGH,LOW,False
tech_ai,34,LOW,LOW,True
tech_ai,35,LOW,LOW,True
tech_ai,36,HIGH,LOW,False
tech_ai,37,LOW,LOW,True
tech_ai,38,LOW,LOW,True
tech_ai,39,LOW,LOW,True
general_education,40,HIGH,HIGH,True
general_education,41,HIGH,HIGH,True
general_education,42,HIGH,HIGH,True
general_education,43,HIGH,HIGH,True
general_education,44,HIGH,HIGH,True
general_education,45,HIGH,HIGH,True
general_education,46,HIGH,HIGH,True
general_education,47,HIGH,HIGH,True
general_education,48,HIGH,HIGH,True
general_education,49,HIGH,HIGH,True
general_education,50,HIGH,HIGH,True
general_education,51,HIGH,LOW,False
general_education,52,HIGH,HIGH,True
general_education,53,HIGH,LOW,False
general_education,54,HIGH,LOW,False
general_education,55,HIGH,HIGH,True
general_education,56,HIGH,HIGH,True
general_education,57,HIGH,LOW,False
general_education,58,HIGH,HIGH,True
general_education,59,HIGH,HIGH,True
