domain,transcript_index,signal_level,agreement,votes_high,votes_low,all_agree,llama_label,mistral_label,qwen_label,llama_criterion,mistral_criterion,qwen_criterion
tech_ai,20,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"The transcript provides accurate technical detail, explains the mechanism behind dynamic programming, and presents a concrete solution to a specific problem.",,The content explains the mechanism of solving a technical problem with both Brute Force and Dynamic Programming approaches.
tech_ai,21,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,The transcript provides accurate and detailed technical explanations of solving the 132 pattern problem using a stack data structure.,The content satisfies all four HIGH criteria and does not violate any LOW criteria.,The content accurately explains the use of stack data structures and provides technical reasoning for its application.
tech_ai,22,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,The transcript provides accurate technical explanations of specific algorithmic patterns and their applications.,,The content focuses on technical details of coding patterns and provides clear explanations.
tech_ai,23,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"The transcript provides a clear explanation of AgentCore's technical details and its benefits, but also uses some motivational language without providing substantial technical substance.",,The content accurately describes specific technologies and provides concrete examples of their use.
tech_ai,24,LOW,0.667,1,2,False,LOW,HIGH,LOW,"The transcript primarily focuses on addressing ""anxieties"" and providing general explanations for the hype surrounding AI, without offering any concrete technical substance or actionable skills.",,The transcript primarily uses fear-based language and hype without providing any technical substance or concrete examples.
tech_ai,25,LOW,1.0,0,3,True,LOW,LOW,LOW,"The primary message is more focused on the importance of problem-solving skills and the potential consequences of not having them, rather than providing technical substance or actionable advice.","While the content provides technical detail and explains mechanisms, it also uses hype language without substantial technical substance.","While the transcript includes some technical procedural content, it primarily uses motivational language and implies a simplistic solution path without providing substantial depth or actionable technical skills."
tech_ai,26,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"While there is some promotional language, the content primarily focuses on explaining technical concepts and their implications.",,The transcript satisfies multiple high signal criteria with accurate technical detail and explanations of mechanisms and tradeoffs.
tech_ai,27,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"The content provides some technical details and explanations of the M5 chip's performance gains, but also uses some hype language and lacks a clear procedural focus.",,The transcript accurately details the technical improvements of the M5 chip without any promotional content.
tech_ai,28,LOW,1.0,0,3,True,LOW,LOW,LOW,The primary focus of the transcript is on the negative impact of AI on jobs without offering any actionable technical skills or explanations.,,The transcript primarily uses fear-based language and lacks any actionable technical skill or specific implementation details.
tech_ai,29,LOW,1.0,0,3,True,LOW,LOW,LOW,The transcript primarily focuses on fear-mongering and motivational language without providing technical substance or actionable advice.,,The primary message focuses on fear and lacks concrete technical details or actionable advice.
tech_ai,30,LOW,0.667,1,2,False,LOW,HIGH,LOW,The transcript uses hype language without technical substance and focuses primarily on fear-based warnings to investors.,,"The transcript primarily discusses investment trends and market bubbles without any technical substance or actionable advice, meeting only one low signal criterion."
tech_ai,31,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,The speaker provides specific technical explanations and advice throughout the transcript.,,"The content primarily focuses on the technical process of problem-solving and skill development, satisfying multiple high criteria."
tech_ai,32,LOW,1.0,0,3,True,LOW,LOW,LOW,"The primary message is fear-based and promotional, with little to no technical substance or explanation.","The transcript provides some technical details and explanations of mechanisms, but it also uses hype language and makes sweeping claims about AI capabilities without substantiation. Additionally, the primary message is fear-based, which conflicts with the accurate technical content presented.",The presence of hype language without technical substance is the dominant pattern.
tech_ai,33,HIGH,0.667,2,1,False,HIGH,HIGH,LOW,"While the content has some motivational language and general claims about AI, it also provides specific technical details and explanations for how to use AI tools.",,"While the content provides some procedural advice, it is overwhelmed by hype language that does not provide technical substance."
tech_ai,34,LOW,1.0,0,3,True,LOW,LOW,LOW,The primary factor is the dominant pattern of fear-mongering and lack of technical substance in the transcript.,,The transcript primarily focuses on creating a sense of fear regarding job loss due to AI investments without offering specific technical skills or solutions.
tech_ai,35,LOW,1.0,0,3,True,LOW,LOW,LOW,The transcript uses alarmist language to discuss the potential risks of AI development without providing technical explanations for the mechanisms involved.,"While the content provides some technical detail and explanations, it is primarily focused on financial implications rather than in-depth technical discussions. The motivational language (fear of financial losses) co-occurs with procedural content, but the primary focus is not on actionable technical skills.",The transcript primarily uses fear-based language and lacks any technical substance or actionable advice.
tech_ai,36,HIGH,0.667,2,1,False,HIGH,HIGH,LOW,The transcript provides specific technical details and explanations of the challenges that students will face in the US education system.,,The transcript primarily focuses on personal experiences and does not provide any specific technical details or actionable advice related to tech_ai domain.
tech_ai,37,LOW,1.0,0,3,True,LOW,LOW,LOW,The primary factor is the transcript's emotive and fear-based framing without sufficient technical substance or actionable solutions.,The primary message is fear-based and promotes a negative view of technology without offering any actionable technical skills or solutions.,The transcript primarily uses fear-based messaging and hype without providing any actionable or technical content.
tech_ai,38,LOW,1.0,0,3,True,LOW,LOW,LOW,The discussion primarily focuses on the potential negative impact of the proposed H-1B lottery bill without providing a technical solution or actionable skills.,"The primary factor for a low label is the fear-based messaging that dominates the content, which violates Low Signal criterion 3. Although some High Signal criteria are met, their absence in other key areas (e.g., explanation of mechanism or tradeoff, concrete solutions) outweighs their presence.",The transcript primarily focuses on fear-based messaging about job prospects without providing any actionable technical content or substance.
tech_ai,39,LOW,1.0,0,3,True,LOW,LOW,LOW,The primary factor is the lack of technical substance and actionable skills provided in the transcript.,,The transcript primarily uses motivational and unsubstantiated claims without providing any technical details or actionable information.
