domain,transcript_index,signal_level,agreement,votes_high,votes_low,all_agree,llama_label,mistral_label,qwen_label,llama_criterion,mistral_criterion,qwen_criterion
general_education,40,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"The transcript provides a clear and logical explanation of neural networks, uses a concrete example to illustrate the concept, and arrives at non-obvious insights, but does not exhibit any LOW criteria.","The content satisfies three out of five HIGH criteria and does not exhibit any LOW criteria. It explains a mechanism from first principles with logical steps, uses a specific analogy to illuminate the concept accurately, arrives at a non-obvious insight or counterintuitive conclusion supported by the explanation, and does not use alarming or conspiratorial framing, confident causal claims without evidence, oversimplification to the point of inaccuracy, emotional manipulation, or good-vs-evil narratives.",The transcript effectively explains a complex concept using logical steps and an accurate example.
general_education,41,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"While Winston's explanation is clear and supported by a specific example, his claim about the importance of knowledge for success lacks empirical evidence.",,The transcript effectively explains a concept from first principles and arrives at a non-obvious insight without any low-signal patterns.
general_education,42,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"The transcript provides a clear explanation of the scientific concept from first principles, uses concrete examples to illustrate the importance of fundamental constants, and arrives at a non-obvious insight supported by the explanation.",,The content accurately explains complex scientific concepts without oversimplification or emotional manipulation.
general_education,43,HIGH,0.667,2,1,False,HIGH,LOW,HIGH,"The transcript effectively explains Russell's paradox using logical reasoning and analogies, but lacks actionable steps.","While the transcript provides a clear explanation and uses an analogy to illustrate the concept, it also employs emotional manipulation that is not typical for general education content.",The content effectively explains a complex concept through analogy and arrives at a non-obvious insight without relying on low-signal tactics.
general_education,44,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"The transcript provides a clear and logical explanation of Olbers' Paradox and its solution, using a specific analogy to illuminate the concept.",,The transcript effectively explains a complex concept with logical steps and uses an analogy to illuminate it accurately.
general_education,45,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"The transcript provides a clear and accurate explanation of the mechanism of lift generation, using logical steps and a specific analogy to illuminate the concept.",,The explanation accurately represents the complexity of lift generation and follows logical steps from first principles.
general_education,46,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"The transcript provides a clear and logical explanation of complex concepts in physics, using multiple analogies and examples to illuminate the ideas.",,The transcript effectively explains complex concepts from first principles and uses logical reasoning to describe different types of universes.
general_education,47,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"While the speaker provides some explanations for their procrastination behavior, there are also some gaps in evidence and logical reasoning that prevent a higher confidence rating.",,The content accurately represents a complex phenomenon (procrastination) and explains it through logical steps without relying on low-signal tactics.
general_education,48,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"The speaker presents a clear and logical explanation of the concept of the Golden Circle, using specific examples to illustrate its application.","The transcript presents an original idea that explains a mechanism (the golden circle) and uses examples to support it. It also accurately represents complexity and provides historical context, causal analysis, or named expert perspectives indirectly by attempting to explain why some organizations and leaders are more successful than others. Emotional manipulation and simplistic good-vs-evil narratives are not present in the transcript.",The transcript effectively explains a concept from first principles and uses an example to illuminate it accurately.
general_education,49,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"The transcript provides a clear and accurate explanation of the Stock Exchange, but lacks some evidence to support certain claims.",,The explanation accurately represents complex concepts without oversimplification and uses logical steps to explain share trading.
