domain,transcript_index,signal_level,agreement,votes_high,votes_low,all_agree,llama_label,mistral_label,qwen_label,llama_criterion,mistral_criterion,qwen_criterion
career_selfimprovement,0,HIGH,0.667,2,1,False,HIGH,HIGH,LOW,"""Contains at least 2 specific procedural steps with named methods, tools, timelines, or defined techniques — conceptual definitions alone do not qualify but named practices or described processes do""","""write down your list of goals""","""if you're new here hello my name is Ali I'm a doctor turned entrepreneur and author and since 2017 I've been making videos on this channel which are all about the books the ideas the strategies and tools that can help us live more intentionally be more productive and generally build a life that we truly love"""
career_selfimprovement,1,HIGH,0.667,2,1,False,HIGH,HIGH,LOW,"""Contains at least 2 specific procedural steps with named methods, tools, timelines, or defined techniques — conceptual definitions alone do not qualify but named practices or described processes do""","""It is when you are focusing without distraction on a cognitively demanding task""","""so let's talk about deep work so number one what is it number two why is it important number three how do you do it better those are the three key points we're going to talk about"""
career_selfimprovement,2,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"""Contains at least 2 specific procedural steps with named methods, tools, timelines, or defined techniques — conceptual definitions alone do not qualify but named practices or described processes do""","""Treat work sessions like you're going to the cinema"" (Habit number one), ""I picked up this idea a few years ago from Gary Keller’s book The one thing"" (Habit number one), ""Before I sit down to work in the office or at home I make sure I bend to the toilet stretched my legs got myself a drink and a healthier snack"" (Habit number one), ""I strongly recommend that you use either a playlist or an app like Endle today's sponsor more on them later to really block out any distracting noise"" (Habit number one), ""Batching is a very simple idea where rather than switching between I'm going to water this plant here and then I'm gonna do a bit of reading and then I'm gonna do some work and then I'm gonna clean the floor upstairs you try to batch similar tasks"" (Habit number two).",
career_selfimprovement,3,HIGH,0.667,2,1,False,HIGH,HIGH,LOW,"""Contains at least 2 specific procedural steps with named methods, tools, timelines, or defined techniques — conceptual definitions alone do not qualify but named practices or described processes do""","""I had to say no... I simply do not have enough time in my schedule to participate""","""Motivational language dominates the transcript with no actionable method attached — phrases like believe in yourself or stay consistent appear repeatedly and procedural steps are absent or trivial"""
career_selfimprovement,4,HIGH,0.667,2,1,False,HIGH,HIGH,LOW,"""Contains at least 2 specific procedural steps with named methods, tools, timelines, or defined techniques — conceptual definitions alone do not qualify but named practices or described processes do""","""Showering every day, or at least often enough that you don't smell like a beta tester for a cologne made by Oscar the Grouch. And, dress well.""","""And, this can make him s"""
career_selfimprovement,5,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"""Contains at least 2 specific procedural steps with named methods, tools, timelines, or defined techniques — conceptual definitions alone do not qualify but named practices or described processes do""","""So I quit social media for 30 days to find out.""",
career_selfimprovement,6,HIGH,0.667,2,1,False,HIGH,HIGH,LOW,"1. Contains at least 2 specific procedural steps with named methods, tools, timelines, or defined techniques — conceptual definitions alone do not qualify but named practices or described processes do","""When you focus on direction over speed, you will find greater enjoyment in the journey"" and ""So care less about results and more about your daily habits.""","""Today is my 40th birthday. And if I could go back to talk to my younger 20 year old self and give him some advice, here are 40 things that I would say."""
career_selfimprovement,7,HIGH,0.667,2,1,False,HIGH,HIGH,LOW,"""Contains at least 2 specific procedural steps with named methods, tools, timelines, or defined techniques — conceptual definitions alone do not qualify but named practices or described processes do""","""so the first and in my opinion the most important life lesson we can glean from elon musk is that it's not about money it's about solving problems""","""so stick around [Music] so the first and in my opinion the most important life lesson we can glean from elon musk is that it's not about money it's about solving problems"""
career_selfimprovement,8,HIGH,0.667,2,1,False,HIGH,HIGH,LOW,"""More than 30% of content promotes a course, consultation service, community, or product""","""I know you will because this is exactly how you can get out of the Rat Race do something you actually enjoy have time Freedom feel way more fulfilled and just make a lot more money""","""now this is an extremely common dilemma extreme dislike for something that takes up a third of your life or more"""
career_selfimprovement,9,HIGH,0.667,2,1,False,HIGH,HIGH,LOW,"""Contains at least 2 specific procedural steps with named methods, tools, timelines, or defined techniques — conceptual definitions alone do not qualify but named practices or described processes do""","""I quit... I decided to quit... I realized that I had two paths Before Me One path was bright the dirt was smooth paved and safe with lots of people walking on it the other path was darker the ground was rough it was dangerous they had rocks and it was lonelier""","""I want to let you know that it doesn't have to be that way so I'm making this video to share with you my experiences on what finally convinced me to switch to a different path and I really want you guys to pay attention because I want this video to be more than just words that you see on the screen and more than just some sounds you hear coming from your speakers"""
